단지고유번호,필지고유번호,시도,자치구,법정동,지번,주소,대표단지명,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류코드,단지종류명,동수,세대수,사용승인일,원천데이터
11650100053297,1165010800116750011,서울특별시,서초구,서초동,1675-11,서울특별시 서초구 서초동 1675-11,서초 대우아이빌,서초대우아이빌,서초 대우아이빌,서초 대우아이빌,1,아파트,1,215,2003-03-13,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100051132,1165010800116820000,서울특별시,서초구,서초동,1682,서울특별시 서초구 서초동 1682,서초 래미안아파트,서초래미안,서초 래미안 아파트,서초 래미안아파트,1,아파트,13,1129,2003-05-10,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120113619,1165010800114440019,서울특별시,서초구,서초동,1444-19,서울특별시 서초구 서초동 1444-19,서초 리젠(LIZEN) 아파트,서초리젠,서초 리젠(LIZEN) 아파트,서초 리젠(LIZEN) 아파트,1,아파트,1,18,2008-11-28,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120049709,1165010800113470020,서울특별시,서초구,서초동,1347-20,서울특별시 서초구 서초동 1347-20,서초 벽산블루밍 아파트,서초벽산블루밍,서초 벽산블루밍 아파트,서초 벽산블루밍 아파트,1,아파트,2,60,2006-06-08,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100053168,1165010800115130005,서울특별시,서초구,서초동,1513-5,서울특별시 서초구 서초동 1513-5,서초 스위트빌,스위트빌,서초 스위트빌,서초 스위트빌,1,아파트,1,17,2003-08-05,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120315427,1165010800114870115,서울특별시,서초구,서초동,1487-115,서울특별시 서초구 서초동 1487-115,서초 연우아파트,연우,서초 연우아파트,서초 연우아파트,1,아파트,1,19,2015-04-22,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100249379,1165010800115230009,서울특별시,서초구,서초동,1523-9,서울특별시 서초구 서초동 1523-9,서초 오로라 아파트,오로라빌,서초 오로라 아파트,서초 오로라 아파트,1,아파트,1,18,2004-07-19,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100051088,1165010800115930007,서울특별시,서초구,서초동,1593-7,서울특별시 서초구 서초동 1593-7,서초 이오빌,서초이오빌,서초 이오빌,서초 이오빌,1,아파트,1,462,2003-08-13,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120170618,1165010800113440022,서울특별시,서초구,서초동,1344-22,서울특별시 서초구 서초동 1344-22,서초 자연인아파트 102동,서초자연인아파트(101동),서초 자연인 아파트,서초 자연인아파트 102동,1,아파트,1,29,2012-11-26,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120174486,1165010800113440023,서울특별시,서초구,서초동,1344-23,서울특별시 서초구 서초동 1344-23,서초 자연인아파트 102동,서초자연인아파트(102동),서초 자연인아파트 102동,서초 자연인아파트 102동,1,아파트,1,29,2013-04-02,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
