단지고유번호,필지고유번호,시도,시군구,일반구,읍면동,지번,주소,대표단지명,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류코드,단지종류명,동수,세대수,사용승인일,원천데이터
28177100005592,2817710500115250005,인천광역시,미추홀구,,주안동,1525-5,인천광역시 미추홀구 주안동 1525-5,문원아파트,문원,,문원아파트,1,아파트,2,40,1984-11-23,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005606,2817710500115280004,인천광역시,미추홀구,,주안동,1528-4,인천광역시 미추홀구 주안동 1528-4,신라아파트,신라,,신라아파트,1,아파트,2,90,1983-11-11,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120146488,2817710500115420030,인천광역시,미추홀구,,주안동,1542-30,인천광역시 미추홀구 주안동 1542-30,헤렌하우스,헤렌하우스,헤렌하우스,헤렌하우스,1,아파트,1,20,2011-12-12,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120123425,2817710500115620000,인천광역시,미추홀구,,주안동,1562,인천광역시 미추홀구 주안동 1562,예하임아파트,예하임아파트,예하임아파트,예하임아파트,1,아파트,1,48,2009-09-28,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120071333,2817710500115660001,인천광역시,미추홀구,,주안동,1566-1,인천광역시 미추홀구 주안동 1566-1,삼우아파트,삼우,삼우아파트,삼우아파트,1,아파트,2,46,2007-05-28,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005609,2817710500116000000,인천광역시,미추홀구,,주안동,1600,인천광역시 미추홀구 주안동 1600,신비마을아파트,신비마을,신비마을아파트,신비마을아파트,1,아파트,9,720,1994-03-18,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005625,2817710500116060000,인천광역시,미추홀구,,주안동,1606,인천광역시 미추홀구 주안동 1606,진흥아파트,진흥,진흥아파트,진흥아파트,1,아파트,10,828,1995-12-27,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120068943,2817710500116070000,인천광역시,미추홀구,,주안동,1607,인천광역시 미추홀구 주안동 1607,인천주안한신휴플러스,한신휴플러스,인천주안한신휴플러스,인천주안한신휴플러스,1,아파트,9,494,2006-09-26,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120050458,2817710500116130000,인천광역시,미추홀구,,주안동,1613,인천광역시 미추홀구 주안동 1613,주안 휴먼빌 아파트,주안휴먼빌,주안 휴먼빌 아파트,주안 휴먼빌 아파트,1,아파트,1,99,2006-06-30,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120095493,2817710500116140000,인천광역시,미추홀구,,주안동,1614,인천광역시 미추홀구 주안동 1614,주안더월드스테이트,월드스테이트,주안더월드스테이트,주안더월드스테이트,1,아파트,12,961,2008-05-28,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120095494,2817710500116140000,인천광역시,미추홀구,,주안동,1614,인천광역시 미추홀구 주안동 1614,주안더월드스테이트,월드스테이트,주안더월드스테이트,주안더월드스테이트,1,아파트,20,1696,2008-05-28,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120095495,2817710500116140000,인천광역시,미추홀구,,주안동,1614,인천광역시 미추홀구 주안동 1614,주안더월드스테이트,월드스테이트,주안더월드스테이트,주안더월드스테이트,1,아파트,5,503,2008-05-28,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120125298,2817710500116210000,인천광역시,미추홀구,,주안동,1621,인천광역시 미추홀구 주안동 1621,인천관교 한신휴플러스,관교한신휴플러스,인천관교 한신휴플러스,인천관교 한신휴플러스,1,아파트,18,1509,2010-07-30,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120430909,2817710500116280000,인천광역시,미추홀구,,주안동,1628,인천광역시 미추홀구 주안동 1628,주안역 센트레빌,주안역센트레빌,주안역 센트레빌,,1,아파트,12,1458,2021-07-27,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120433490,2817710500116380000,인천광역시,미추홀구,,주안동,1638,인천광역시 미추홀구 주안동 1638,주안역 신일해피트리,주안역신일해피트리,주안역 신일해피트리,주안역 신일해피트리,1,아파트,4,244,2022-03-28,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120446351,2817710500116620000,인천광역시,미추홀구,,주안동,1662,인천광역시 미추홀구 주안동 1662,주안파크자이더플래티넘,주안파크자이더플래티넘,주안파크자이더플래티넘,,1,아파트,13,2054,2023-02-24,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120450839,2817710500116780000,인천광역시,미추홀구,,주안동,1678,인천광역시 미추홀구 주안동 1678,힐스테이트푸르지오주안,힐스테이트푸르지오주안,힐스테이트푸르지오주안,,1,아파트,22,2958,2023-10-23,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120450783,2817710500116880000,인천광역시,미추홀구,,주안동,1688,인천광역시 미추홀구 주안동 1688,e편한세상 주안 에듀서밋,e편한세상주안에듀서밋,e편한세상 주안 에듀서밋,,1,아파트,6,386,2024-01-31,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
