공고번호,시도,자치구,시군구,법정동,대표단지명,세대수,상태,입주예정월,출처
2020000767,서울특별시,강남구,,개포1동,디에이치 퍼스티어 아이파크,1235,입주예정,2024-01,청약홈 분양정보 오픈API
2020000858,부산광역시,,부산기장군,정관읍,가화만사성 정관타운,203,입주예정,2020-08,청약홈 분양정보 오픈API
2020000830,충청북도,,진천군,덕산읍,충북혁신도시 B3-1BL 10년공공임대,1034,입주예정,2020-09,청약홈 분양정보 오픈API
2020000804,울산광역시,,울산중구,,태화강 유보라 팰라티움,122,입주예정,2023-10,청약홈 분양정보 오픈API
2020000784,전라북도,,정읍시,,정읍첨단 A1-1블록 국민임대주택,378,입주예정,2021-02,청약홈 분양정보 오픈API
2020000828,경기도,,남양주시,진접읍,남양주시 진접3지구 삼부르네상스 더퍼스트,348,입주예정,2022-09,청약홈 분양정보 오픈API
2020000813,경기도,,과천시,,과천 푸르지오 벨라르테,504,입주예정,2022-10,청약홈 분양정보 오픈API
2020000823,제주특별자치도,,제주시,노형동,노형 벽강하이본타워 7차,79,입주예정,2021-01,청약홈 분양정보 오픈API
2020000817,대구광역시,,대구동구,율암동,대구 안심2차 시티프라디움,191,입주예정,2022-09,청약홈 분양정보 오픈API
2020000807,서울특별시,성북구,,길음동,길음역 롯데캐슬 트윈골드,218,입주예정,2024-04,청약홈 분양정보 오픈API
2020000802,경상북도,,경산시,,경산 사동 팰리스 부영2단지,1028,입주예정,2020-08,청약홈 분양정보 오픈API
2020000778,부산광역시,,부산남구,감만동,감만 우성스마트 시티 뷰,224,입주예정,2023-04,청약홈 분양정보 오픈API
2020000775,대구광역시,,대구서구,평리동,서대구역 반도유보라 센텀,1226,입주예정,2023-10,청약홈 분양정보 오픈API
2020000766,충청남도,,당진시,수청동,당진수청2 RH1 호반써밋,1084,입주예정,2022-12,청약홈 분양정보 오픈API
2020000758,경기도,,광주시,초월읍,쌍용 더 플래티넘 광주,147,입주예정,2022-02,청약홈 분양정보 오픈API
2020000753,경기도,,용인처인구,양지면,용인 세영리첼,225,입주예정,2023-01,청약홈 분양정보 오픈API
2020000743,대구광역시,,대구중구,,엑소디움 센트럴 동인,362,입주예정,2022-12,청약홈 분양정보 오픈API
2020000686,경기도,,고양덕양구,,행신 파밀리에 트라이하이,58,입주예정,2022-03,청약홈 분양정보 오픈API
2020000192,경기도,,부천시,,승윤 노블리안 아파트,33,입주예정,2020-09,청약홈 분양정보 오픈API
2020000809,인천광역시,,인천중구,운남동,운서2차 SK VIEW Skycity A7블럭,909,입주예정,2022-08,청약홈 분양정보 오픈API
